Day,Grande_Comore,Moheli,Anjouan
89,83717.87098667634,81947.86576530688,83581.94947983336
90,86088.1082406824,84273.96593453384,86288.83712241569
91,89784.8826318961,87442.78568899028,89410.59786391242
92,88697.53745184887,86305.33041689244,88322.11022351129
93,86930.88168886144,84947.78122837178,86706.05900205052
94,86470.63110782893,84600.01911802673,86666.62352285374
95,85546.99147156432,84022.06147061686,86369.03635016248
96,85120.3196244844,83561.84798286768,86228.40133817017
97,85446.1857847741,83180.70921465063,85573.18918568392
98,84494.51982403173,82541.17959535882,84788.07738177727
99,84123.37495639204,82054.36073044832,84396.45143991904
100,84378.63531703583,82041.10748257856,84393.75282039885
101,84311.32261786342,81628.17828880931,83518.72266836787
102,83435.24487056237,81269.63328393006,82882.9263247226
103,83650.29071344376,81105.62562889598,82651.1993729682
104,83405.52048456518,80973.99421306053,82503.70702896954
105,83391.40704080104,80860.92087035421,82296.79561762357
106,82767.55221347275,80797.64923732565,81954.39528566945
107,82499.14145093846,80752.27536564224,81872.0516925094
108,82793.32412519358,81211.3604343316,82166.91799889285
109,82835.59086393764,81103.16607031676,82181.48412400056
110,82474.62307776735,80964.963065994,82096.49928829282
111,83010.0400067873,81481.90010127318,82117.00143128079
112,85331.1074305589,82816.18095596331,83492.13244414225
113,84953.9487464671,82411.30389742977,82860.30503057728
114,85359.38637247303,82852.07955906913,83030.37451295838
115,87478.38264411708,85118.1857953411,85130.79680293174
116,87908.74699961854,84601.43527643093,85256.33167009655
117,87072.81832346047,83873.50637979577,84899.69196359768
118,88886.63912785631,85785.1331930185,84493.01750940781
119,92333.70539543693,90523.46218416188,84437.74154561163
120,90792.96981870785,88636.16171623032,83986.6526567497
121,89341.08884668899,86904.42914072455,83910.71192921796
122,87618.54041616815,85827.29649380167,83553.24789841578
123,86216.0380720447,84780.23486381695,83169.49723834131
124,85483.9113934182,83925.07257939527,83048.75248355659
125,84319.30675310004,83062.5880185413,82374.6003583886
126,83647.89302026689,82497.61898095021,81960.28340712083
127,83274.42393867606,82277.74644695265,81825.29763431282
128,87152.71940602521,83748.61584002248,83632.9773074733
129,86309.49895835461,82994.02441289373,83342.38032853938
130,85200.99327116767,82495.8673720473,82940.77356791614
131,84831.72788809452,82330.55297827537,82716.98567588077
132,84538.55832303573,82199.96970452205,82527.0909876601
133,84424.3174277073,81923.36430413535,82097.32966064838
134,83445.8149017908,81497.9176261922,81635.39130103851
135,82830.65992283191,81408.05213790222,81418.7112859084
136,83163.37190644814,81868.98345254952,81699.39378238202
137,82777.79589008678,81762.22694633296,81416.14556495211
138,84992.39072182911,82329.3626609927,82138.10626027877
139,84420.06760260885,82236.22764671345,82018.87504452355
140,83975.71913001331,82245.86820043871,82242.6254451001
141,84040.83711955765,82237.53823176373,82482.453445914
142,83904.78461474313,81893.86128078512,82412.68604631707
143,83820.63281382024,82174.79836343425,82067.06893679601
144,84515.62726877841,82761.53987996228,82846.3496689643
145,84259.63166250077,82503.9465621184,82891.88360346707
146,84281.91812411738,81995.29429370468,82788.8582623263
147,83448.38190601463,81591.12172061836,82229.96129768029
148,82880.47927519976,81335.80183639919,81920.55458473397
149,86156.92202074164,84641.52643177495,82616.94018904792
150,87280.28717858497,88037.76909304505,84448.82360702095
151,87212.91626339564,87416.68635520061,84351.21844535244
152,85647.3411309291,85784.61400296759,83389.49745523471
153,85248.66406556085,84901.70151232497,82699.80540269536
154,84591.64999331807,84028.39329891658,82247.60130952304
155,83656.24197946451,83221.78539953161,82492.75568353078
156,83223.5419136752,82696.43102398257,82283.21689153594
157,82698.25807218078,82104.34379224876,81811.1478905361
158,82305.99930403895,81682.93565959345,81530.26509474794
159,82097.14286266315,81414.19270808528,81245.33024166088
160,82226.91519067154,81382.55697318353,81245.15530746877
161,82546.88357994777,81430.6822048886,81480.21778025842
162,82847.49145613598,81246.88869411725,81720.74533136745
163,82258.48612691264,80971.0778913814,81450.52501418594
164,81895.02608887687,80786.575080339,81857.22517284042
165,82523.22423791292,81400.81467292382,81949.4765807132
