Day,Grande_Comore,Moheli,Anjouan
1356,60785.46239,60312.78217,61932.02374
1357,61074.35794,60412.99029,62400.11782
1358,61359.76091,60416.99604,62839.40105
1359,61236.87941,60455.94935,62448.39906
1360,61613.37596,60564.7648,62824.78195
1361,61462.16598,60448.13134,62748.30919
1362,61271.91047,60354.33566,62388.40776
1363,61080.73037,60322.15561,62367.49537
1364,61566.24368,60594.72008,62329.40795
1365,64084.8008,61153.18773,62269.32568
1366,63785.17463,61732.93796,62712.08884
1367,64695.75532,64737.22301,65865.26501
1368,70427.58586,66511.6206,66998.10729
1369,68553.4458,65687.53423,66536.92792
1370,67419.9927,64903.58522,65869.10194
1371,66097.1607,64242.40423,65005.05251
1372,65948.57643,63745.54083,67341.75939
1373,65419.5402,63207.84511,66203.77427
1374,65391.90192,62666.18685,66013.41318
1375,65047.85519,62107.52369,64984.10228
1376,64071.66127,61646.96787,64033.11314
1377,63481.54299,61416.81382,63715.21527
1378,63245.38854,61616.3399,63423.12191
1379,62632.55396,61334.02777,63011.29565
1380,62104.69505,61077.4408,62572.53639
1381,61998.71819,61627.15519,63441.53662
1382,63195.90238,62739.36954,64532.73316
1383,66820.97307,69788.19473,74322.82277
1384,65795.01546,67710.41667,72935.19531
1385,65165.60019,66295.39738,71675.23619
1386,64727.07592,65366.92057,70461.16651
1387,63803.80502,64255.87136,68632.46118
1388,63914.82458,63494.23633,67272.65252
1389,63054.18821,62721.61014,65668.20624
1390,63474.47575,62660.94627,64875.56696
1391,68963.41064,63695.81724,66729.55985
1392,68056.29556,64223.69484,66418.33244
1393,66436.27671,63476.28473,65422.14673
1394,65290.2871,62725.39815,64510.74581
1395,64232.78662,62158.67198,63689.60975
1396,63307.49773,61695.09427,62977.30373
1397,62819.68935,61467.32511,63227.06039
1398,63632.5833,63567.59415,64492.24509
1399,62892.98606,62783.4796,63542.26704
1400,62682.33779,62404.10028,64352.91836
1401,62822.32284,62665.9854,64945.21555
1402,63192.82328,62715.64988,65070.15597
1403,63294.90704,62458.7753,65180.84436
1404,62886.5244,62068.5957,65446.62652
1405,62351.62763,61801.14943,66228.65266
1406,62050.91228,61424.35521,65152.94775
1407,62495.84154,61277.7958,65027.21301
1408,62345.81134,61116.86422,64915.8046
1409,65057.09901,61685.10358,74106.76104
1410,65576.5996,62067.23513,74319.44921
1411,65196.65699,62270.66518,72128.67522
1412,65698.18114,62860.87696,71540.72896
1413,65211.90898,63208.29517,70606.46257
1414,65049.59706,63032.27717,69656.58816
1415,64423.67149,62475.85203,68121.85559
1416,63879.84673,62023.55439,67396.18431
1417,63236.67241,61710.0997,66794.32444
1418,62866.0569,61349.89187,65938.9604
1419,63194.96481,61754.9388,66339.72446
1420,64328.42893,63121.11427,66514.34252
1421,64233.23659,62718.87591,65681.36458
1422,67007.78975,63479.43633,65873.34137
1423,66911.77128,62925.08559,65148.08225
1424,67768.22138,62286.05488,65238.69423
1425,66719.55612,61783.63893,65345.36102
1426,66912.79863,61545.46428,65667.93808
1427,67620.78939,65142.34533,68637.77494
1428,66150.21164,64413.83965,68210.37319
1429,65582.43462,65385.54756,68306.63373
1430,69505.79279,69075.04437,72257.38263
1431,74791.3707,73966.06737,75840.8193
1432,75629.09457,73567.26702,78175.20485
1433,77467.73199,73199.82104,79741.14777
1434,79312.80261,73845.3279,79137.14236
1435,77606.93613,72707.10635,79011.70251
1436,79865.37019,75587.6306,78345.97161
1437,78169.99982,73517.03212,77825.87748
1438,75042.45679,70859.35057,74816.28825
1439,72752.61162,68544.04139,71885.11372
1440,70005.85996,66654.10613,75891.90145
1441,68592.42979,65245.59822,72622.31552
1442,69555.98855,64175.89656,70694.59588
1443,69103.42067,63670.05296,74210.11248
1444,69865.67662,63659.90627,73941.20947
1445,70117.50471,63785.26954,74431.44199
1446,68977.73647,63147.57302,72237.79751
1447,72404.05276,63148.75523,76171.33762
1448,84745.78686,78391.99406,84067.87258
1449,96836.54949,89706.9828,88788.17445
1450,96169.27555,91200.45857,93603.36631
1451,98642.19528,106195.9476,117766.1118
1452,100211.8632,111064.2818,133204.6448
1453,99338.51472,110100.2382,130221.7151
1454,93026.88317,100833.7735,123286.9722
1455,88263.57895,91902.06425,112680.9631
1456,86305.91987,84890.6629,103430.4262
1457,86402.73976,79391.67911,94683.51506
1458,81901.52234,75115.28528,87967.94581
1459,78142.06463,72497.94503,83345.54056
1460,74732.62205,70139.72115,79652.01627
1461,71510.20445,67948.64825,75491.37737
1462,68978.31223,66191.89421,72221.15577
1463,67147.0406,64864.60088,69812.61312
1464,65906.40544,63837.12285,67939.88019
1465,64727.13671,62999.60782,66415.78905
1466,63734.06427,62336.39306,64997.63553
1467,62917.73988,61837.35348,64144.95063
1468,62279.10052,61432.41306,63295.82546
1469,61954.84546,61121.78347,62744.84842
1470,66158.56522,65011.09609,69831.86039
1471,71848.41024,71284.07475,76210.48757
1472,78948.11417,77819.8949,83606.37373
1473,82668.82942,83241.67982,84770.78313
1474,86258.45546,90931.73905,88729.336
1475,87260.3966,89947.42265,89808.61215
1476,81646.6222,83619.81411,84811.70348
1477,78632.14218,78802.92222,80283.3202
1478,83464.79295,85002.60765,88403.11954
1479,80721.49099,81215.45959,84177.05145
1480,76728.04665,76648.18228,79149.83223
1481,73232.22104,73015.666,75126.63983
1482,70871.77399,70220.42008,72257.92491
1483,70183.69735,68009.12748,72088.35634
1484,71348.43436,67887.93421,77028.58771
1485,75727.89631,75731.73172,90667.35204
1486,74833.40206,74970.20549,86926.34178
1487,72178.73508,71810.73045,81225.98481
1488,69500.31689,69206.79435,76972.91405
1489,67744.45862,67189.21196,73945.34812
1490,66253.28775,65606.66369,71707.93964
1491,64969.15729,64433.69913,69909.47181
1492,63878.63948,63474.58698,67724.70375
1493,63318.3238,62758.72498,66294.7517
1494,62649.14217,62197.95349,64922.73879
1495,67187.34994,73948.50428,76156.36899
1496,85150.26467,87975.87981,91423.27151
1497,99906.5642,130898.9434,107943.7438
1498,102429.568,123519.187,107017.786
1499,106539.5227,121866.6321,108648.1979
1500,111361.264,118318.2533,109801.4562
1501,131670.3762,148555.4624,129052.6647
1502,125689.7075,131944.8075,118955.9147
1503,116751.1703,122189.0203,113634.534
1504,109926.2508,114846.1869,105713.2202
1505,104904.1263,111624.09,102233.7083
1506,98115.16948,104670.4613,99259.41265
1507,91419.26886,95107.74673,91478.52527
1508,84611.99302,87421.60381,87614.76627
1509,79424.17998,81445.10635,81733.43437
1510,75598.50102,77038.18317,77099.50972
1511,75388.22231,76160.32379,82254.33448
1512,76632.03082,73574.50299,81252.19127
1513,75417.44227,70912.40101,79180.80831
1514,72962.87049,68512.50529,75469.76587
1515,71359.25344,66689.3672,72637.09645
1516,69831.20281,65329.62338,70641.71879
1517,68070.85895,64151.30716,68348.71984
1518,67681.98448,63947.64061,69226.5857
1519,67793.25892,63632.66006,69021.70724
1520,67680.5636,64329.09599,69148.39764
1521,66294.32292,63425.69799,67391.05351
1522,65494.952,62974.74312,66624.94649
1523,68798.20748,66883.2975,74062.76771
1524,70448.93329,67256.04935,73285.28979
1525,68618.39991,65828.70428,71114.08454
1526,66977.10319,64776.01979,69684.55529
1527,65806.96846,63837.73005,67768.76363
1528,65582.90812,63706.09182,67417.18023
1529,67547.31591,63460.53354,67187.88105
1530,72229.74503,67675.64301,73048.02984
1531,74293.29852,68358.80745,74969.0499
1532,74894.41902,67423.45497,75277.75735
1533,72723.96874,66040.8161,73381.39389
1534,70179.57268,64719.69573,71897.8122
1535,68611.40389,63802.45305,69888.51507
1536,67298.68498,63023.54399,67954.68124
1537,66168.68084,62969.24056,67107.60326
1538,66383.96332,65423.45645,68565.31609
1539,68668.7116,67097.58907,74003.86406
1540,74096.53243,75351.05378,80600.79374
1541,78711.97621,84687.00839,88125.72879
1542,102464.2489,96270.03329,96612.08885
1543,101992.7967,102235.2718,106921.329
1544,103795.4624,107168.8578,104269.4928
1545,118641.4339,136159.527,117310.0831
1546,138732.6943,141946.3232,131757.0145
1547,125576.5026,130727.1608,121923.1462
1548,114030.8947,118011.5444,111129.9689
1549,103249.9218,105189.8013,100237.1147
1550,94116.04777,95711.21899,92725.35827
1551,87219.96852,88532.15142,88641.57034
1552,81792.22184,82762.80833,83025.09904
1553,77144.28605,77780.40687,77980.63677
1554,73892.70594,73877.60164,74236.75493
1555,72715.56039,74828.06361,72843.7284
1556,71677.88656,75174.11433,71497.73535
1557,69464.69628,71860.25709,69437.00402
1558,69267.02299,69528.48093,69759.39919
1559,67703.42734,67483.57128,67861.62924
1560,66369.47449,65908.17048,66573.36239
1561,65731.28648,64970.58137,66129.57988
1562,64920.39902,64267.63163,67852.80931
1563,64662.79559,63382.56783,66707.64109
1564,64068.96207,62700.68309,65492.52258
1565,65659.19199,64057.2628,67977.84001
1566,71004.07199,71533.90871,71967.45049
1567,71007.06338,71880.40187,72571.82754
1568,70501.6711,71162.90158,72030.35017
1569,69693.40003,70186.25034,70748.57927
1570,68348.99559,68460.49506,69477.16568
1571,66633.57544,66915.09649,67733.38903
1572,65511.29715,65545.40119,67108.34912
1573,64917.41016,64398.12981,66044.20059
1574,64574.17948,63624.57293,65706.92273
1575,63621.97396,62872.27655,64674.42785
1576,63210.76197,62480.65906,63957.21913
1577,63189.76908,62105.77669,63193.42446
1578,63126.53373,62057.84198,62784.14109
1579,62435.84857,61602.64895,62168.29126
1580,62640.63571,61575.38515,62010.71075
1581,63238.77929,62129.85914,61928.95219
1582,63756.36898,62068.00919,62444.36932
1583,64326.36459,62526.54553,63102.51933
1584,72580.77451,69967.753,68489.44737
1585,70511.21637,67901.78613,66833.55108
1586,68929.91881,66534.46433,66052.86027
1587,68360.57852,65753.00438,65404.09518
